GeoCode,GeoCodeLabel,Number_of_Motor_Vehicle_Collisions,Vehicles_or_Motorists_Involved,Injury_or_Fatal_Collisions,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Bicycle,Month
017,17th Precinct,289.0,559.0,25.0,9.0,0.0,11.0,0.0,2.0,0.0,10.0,0.0,6.0,April
018,Midtown North Precinct,358.0,687.0,34.0,9.0,0.0,7.0,0.0,9.0,0.0,14.0,0.0,16.0,April
019,19th Precinct,474.0,923.0,39.0,14.0,0.0,14.0,0.0,9.0,0.0,12.0,0.0,18.0,April
020,20th Precinct,182.0,354.0,20.0,4.0,0.0,15.0,0.0,5.0,0.0,5.0,0.0,5.0,April
022,Central Park Precinct,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,April
023,23rd Precinct,117.0,233.0,15.0,7.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,4.0,April
024,24th Precinct,116.0,226.0,14.0,5.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,4.0,April
025,25th Precinct,202.0,412.0,36.0,21.0,0.0,33.0,0.0,2.0,0.0,6.0,0.0,2.0,April
026,26th Precinct,92.0,177.0,13.0,4.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,2.0,April
028,28th Precinct,69.0,144.0,11.0,5.0,0.0,5.0,0.0,1.0,0.0,3.0,0.0,2.0,April
030,30th Precinct,73.0,137.0,12.0,3.0,0.0,6.0,0.0,3.0,0.0,2.0,0.0,4.0,April
032,32nd Precinct,120.0,239.0,15.0,9.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,April
033,33rd Precinct,117.0,234.0,11.0,1.0,0.0,5.0,0.0,2.0,0.0,6.0,0.0,2.0,April
034,34th Precinct,129.0,248.0,19.0,7.0,0.0,7.0,0.0,2.0,0.0,7.0,0.0,4.0,April
B,BRONX,2372.0,4707.0,459.0,238.0,1.0,280.0,0.0,30.0,1.0,125.0,1.0,33.0,April
040,40th Precinct,216.0,422.0,45.0,21.0,0.0,32.0,0.0,5.0,0.0,11.0,0.0,5.0,April
041,41st Precinct,107.0,212.0,16.0,9.0,0.0,6.0,0.0,2.0,0.0,4.0,0.0,3.0,April
042,42nd Precinct,108.0,217.0,26.0,6.0,0.0,17.0,0.0,1.0,0.0,11.0,0.0,1.0,April
043,43rd Precinct,273.0,543.0,60.0,33.0,0.0,32.0,0.0,1.0,0.0,20.0,0.0,2.0,April
044,44th Precinct,218.0,424.0,56.0,25.0,0.0,24.0,0.0,5.0,1.0,18.0,0.0,6.0,April
045,45th Precinct,273.0,545.0,53.0,37.0,0.0,42.0,0.0,3.0,0.0,6.0,0.0,3.0,April
046,46th Precinct,132.0,263.0,36.0,15.0,0.0,26.0,0.0,2.0,0.0,9.0,0.0,2.0,April
047,47th Precinct,273.0,550.0,43.0,25.0,1.0,25.0,0.0,3.0,0.0,10.0,0.0,3.0,April
048,48th Precinct,164.0,335.0,26.0,16.0,0.0,23.0,0.0,4.0,0.0,7.0,0.0,4.0,April
049,49th Precinct,203.0,405.0,36.0,21.0,0.0,18.0,0.0,0.0,0.0,13.0,0.0,0.0,April
050,50th Precinct,175.0,345.0,25.0,12.0,0.0,11.0,0.0,2.0,0.0,4.0,1.0,2.0,April
052,52nd Precinct,230.0,446.0,37.0,18.0,0.0,24.0,0.0,2.0,0.0,12.0,0.0,2.0,April
K,BROOKLYN,4678.0,9249.0,906.0,437.0,3.0,501.0,0.0,109.0,0.0,217.0,2.0,130.0,April
060,60th Precinct,153.0,304.0,36.0,23.0,0.0,18.0,0.0,3.0,0.0,7.0,0.0,3.0,April
061,61st Precinct,285.0,579.0,43.0,23.0,0.0,34.0,0.0,4.0,0.0,6.0,0.0,5.0,April
062,62nd Precinct,212.0,438.0,33.0,15.0,0.0,21.0,0.0,3.0,0.0,9.0,0.0,3.0,April
063,63rd Precinct,203.0,406.0,39.0,24.0,0.0,22.0,0.0,1.0,0.0,6.0,0.0,1.0,April
066,66th Precinct,255.0,475.0,59.0,18.0,0.0,14.0,0.0,13.0,0.0,26.0,0.0,17.0,April
067,67th Precinct,273.0,544.0,65.0,43.0,0.0,41.0,0.0,6.0,0.0,13.0,0.0,6.0,April
068,68th Precinct,217.0,445.0,37.0,19.0,0.0,21.0,0.0,5.0,0.0,3.0,0.0,6.0,April
069,69th Precinct,142.0,285.0,22.0,15.0,0.0,14.0,0.0,1.0,0.0,5.0,1.0,1.0,April
070,70th Precinct,244.0,480.0,49.0,22.0,0.0,28.0,0.0,9.0,0.0,12.0,0.0,9.0,April
071,71st Precinct,139.0,280.0,22.0,9.0,0.0,7.0,0.0,2.0,0.0,8.0,0.0,3.0,April
072,72nd Precinct,275.0,549.0,47.0,23.0,0.0,31.0,0.0,8.0,0.0,8.0,0.0,8.0,April
073,73rd Precinct,158.0,306.0,35.0,15.0,0.0,23.0,0.0,1.0,0.0,9.0,0.0,2.0,April
075,75th Precinct,419.0,828.0,87.0,60.0,1.0,57.0,0.0,4.0,0.0,17.0,0.0,5.0,April
076,76th Precinct,141.0,279.0,20.0,7.0,0.0,10.0,0.0,5.0,0.0,4.0,0.0,5.0,April
077,77th Precinct,151.0,299.0,36.0,10.0,1.0,16.0,0.0,1.0,0.0,13.0,0.0,2.0,April
078,78th Precinct,186.0,355.0,29.0,6.0,0.0,11.0,0.0,6.0,0.0,13.0,0.0,7.0,April
079,79th Precinct,164.0,323.0,39.0,15.0,1.0,20.0,0.0,5.0,0.0,11.0,1.0,6.0,April
081,81st Precinct,103.0,200.0,28.0,7.0,0.0,17.0,0.0,4.0,0.0,10.0,0.0,4.0,April
083,83rd Precinct,152.0,292.0,35.0,14.0,0.0,22.0,0.0,3.0,0.0,10.0,0.0,4.0,April
084,84th Precinct,239.0,473.0,32.0,16.0,0.0,16.0,0.0,2.0,0.0,4.0,0.0,4.0,April
088,88th Precinct,104.0,199.0,23.0,5.0,0.0,7.0,0.0,8.0,0.0,7.0,0.0,10.0,April
090,90th Precinct,277.0,539.0,61.0,28.0,0.0,40.0,0.0,12.0,0.0,13.0,0.0,15.0,April
094,94th Precinct,186.0,371.0,29.0,20.0,0.0,11.0,0.0,3.0,0.0,3.0,0.0,4.0,April
Q,QUEENS,4694.0,9441.0,809.0,430.0,4.0,462.0,2.0,61.0,1.0,165.0,2.0,77.0,April
100,100th Precinct,45.0,88.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,April
101,101st Precinct,57.0,108.0,14.0,10.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,April
102,102nd Precinct,290.0,579.0,37.0,14.0,0.0,31.0,0.0,2.0,0.0,9.0,0.0,3.0,April
103,103rd Precinct,249.0,488.0,51.0,26.0,0.0,12.0,0.0,1.0,0.0,17.0,0.0,1.0,April
104,104th Precinct,342.0,686.0,46.0,20.0,0.0,26.0,0.0,5.0,0.0,12.0,0.0,7.0,April
105,105th Precinct,508.0,1044.0,101.0,67.0,0.0,107.0,0.0,1.0,0.0,14.0,0.0,1.0,April
106,106th Precinct,249.0,514.0,61.0,46.0,1.0,32.0,0.0,2.0,1.0,8.0,0.0,3.0,April
107,107th Precinct,309.0,630.0,62.0,36.0,1.0,36.0,1.0,1.0,0.0,11.0,0.0,2.0,April
108,108th Precinct,411.0,820.0,76.0,41.0,0.0,23.0,0.0,11.0,0.0,12.0,0.0,14.0,April
109,109th Precinct,519.0,1029.0,64.0,33.0,1.0,34.0,1.0,8.0,0.0,14.0,0.0,8.0,April
110,110th Precinct,289.0,573.0,48.0,17.0,0.0,18.0,0.0,8.0,0.0,13.0,0.0,11.0,April
111,111th Precinct,314.0,644.0,52.0,29.0,1.0,32.0,0.0,3.0,0.0,8.0,1.0,3.0,April
112,112th Precinct,246.0,502.0,36.0,19.0,0.0,22.0,0.0,2.0,0.0,6.0,0.0,3.0,April
113,113th Precinct,254.0,519.0,52.0,27.0,0.0,40.0,0.0,2.0,0.0,7.0,1.0,2.0,April
114,114th Precinct,358.0,713.0,63.0,24.0,0.0,29.0,0.0,8.0,0.0,17.0,0.0,11.0,April
115,115th Precinct,254.0,504.0,38.0,16.0,0.0,19.0,0.0,6.0,0.0,10.0,0.0,7.0,April
S,STATEN ISLAND,903.0,1814.0,150.0,111.0,1.0,87.0,0.0,6.0,0.0,22.0,0.0,9.0,April
120,120th Precinct,183.0,359.0,24.0,10.0,0.0,13.0,0.0,3.0,0.0,6.0,0.0,3.0,April
121,121st Precinct,310.0,627.0,45.0,37.0,0.0,29.0,0.0,0.0,0.0,5.0,0.0,0.0,April
122,122nd Precinct,280.0,564.0,65.0,53.0,1.0,33.0,0.0,2.0,0.0,10.0,0.0,5.0,April
123,123rd Precinct,130.0,264.0,16.0,11.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,1.0,April
C,CITYWIDE,19119.0,37724.0,3551.0,1630.0,6.0,1879.0,4.0,471.0,1.0,791.0,17.0,611.0,May
M,MANHATTAN,4377.0,8443.0,596.0,176.0,0.0,207.0,1.0,137.0,1.0,177.0,5.0,202.0,May
001,1st Precinct,295.0,569.0,41.0,10.0,0.0,17.0,0.0,13.0,0.0,9.0,0.0,17.0,May
005,5th Precinct,243.0,473.0,26.0,4.0,0.0,7.0,0.0,6.0,0.0,11.0,0.0,11.0,May
006,6th Precinct,139.0,263.0,18.0,5.0,0.0,4.0,0.0,3.0,0.0,7.0,0.0,8.0,May
007,7th Precinct,123.0,228.0,12.0,4.0,0.0,9.0,0.0,2.0,0.0,3.0,0.0,5.0,May
009,9th Precinct,145.0,264.0,28.0,4.0,0.0,6.0,0.0,12.0,0.0,9.0,0.0,17.0,May
010,10th Precinct,266.0,530.0,16.0,5.0,0.0,6.0,0.0,4.0,0.0,3.0,1.0,4.0,May
013,13th Precinct,249.0,456.0,43.0,8.0,0.0,6.0,0.0,15.0,0.0,15.0,0.0,20.0,May
014,Midtown South Precinct,310.0,603.0,40.0,14.0,0.0,18.0,0.0,3.0,0.0,14.0,0.0,5.0,May
017,17th Precinct,312.0,607.0,37.0,11.0,0.0,7.0,0.0,10.0,0.0,12.0,0.0,13.0,May
018,Midtown North Precinct,397.0,754.0,47.0,15.0,0.0,10.0,0.0,16.0,0.0,12.0,0.0,23.0,May
019,19th Precinct,481.0,940.0,54.0,12.0,0.0,12.0,0.0,9.0,0.0,21.0,2.0,15.0,May
020,20th Precinct,185.0,354.0,20.0,7.0,0.0,9.0,0.0,7.0,0.0,3.0,0.0,13.0,May
022,Central Park Precinct,10.0,21.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,May
023,23rd Precinct,138.0,274.0,24.0,6.0,0.0,12.0,0.0,7.0,0.0,5.0,0.0,8.0,May
024,24th Precinct,119.0,229.0,19.0,10.0,0.0,9.0,0.0,5.0,0.0,3.0,0.0,5.0,May
