DATE,Borough,No. of uber trips,PERSONS KILLED,trafficcol
2015-05-14,BROOKLYN,1128,0,151
2015-05-14,MANHATTAN,3335,1,145
2015-05-14,QUEENS,922,0,123
2015-05-14,STATEN ISLAND,28,0,22
2015-05-15,BRONX,425,0,70
2015-05-15,BROOKLYN,1275,0,148
2015-05-15,MANHATTAN,3546,1,191
2015-05-15,QUEENS,947,0,126
2015-05-15,STATEN ISLAND,46,0,19
2015-05-16,BRONX,531,0,58
2015-05-16,BROOKLYN,1638,1,153
2015-05-16,MANHATTAN,3843,0,157
2015-05-16,QUEENS,1091,0,97
2015-05-16,STATEN ISLAND,41,0,19
2015-05-17,BRONX,489,1,53
2015-05-17,BROOKLYN,1471,0,113
2015-05-17,MANHATTAN,3289,0,102
2015-05-17,QUEENS,1044,0,114
2015-05-17,STATEN ISLAND,42,0,12
2015-05-18,BRONX,295,0,51
2015-05-18,BROOKLYN,1205,0,130
2015-05-18,MANHATTAN,3146,0,116
2015-05-18,QUEENS,935,0,129
2015-05-18,STATEN ISLAND,24,0,20
2015-05-19,BRONX,296,0,56
2015-05-19,BROOKLYN,1122,1,148
2015-05-19,MANHATTAN,3382,0,117
2015-05-19,QUEENS,932,0,109
2015-05-19,STATEN ISLAND,23,0,19
2015-05-20,BRONX,324,0,62
2015-05-20,BROOKLYN,1189,0,150
2015-05-20,MANHATTAN,3398,1,139
2015-05-20,QUEENS,886,0,126
2015-05-20,STATEN ISLAND,30,0,26
2015-05-21,BRONX,331,0,59
2015-05-21,BROOKLYN,1257,0,126
2015-05-21,MANHATTAN,3391,0,128
2015-05-21,QUEENS,949,0,120
2015-05-21,STATEN ISLAND,37,0,17
2015-05-22,BRONX,391,0,76
2015-05-22,BROOKLYN,1350,1,182
2015-05-22,MANHATTAN,3387,0,138
2015-05-22,QUEENS,1035,0,128
2015-05-22,STATEN ISLAND,38,0,19
2015-05-23,BRONX,410,0,62
2015-05-23,BROOKLYN,1439,0,137
2015-05-23,MANHATTAN,2994,0,89
2015-05-23,QUEENS,1020,0,96
2015-05-23,STATEN ISLAND,32,0,14
2015-05-24,BRONX,358,0,41
2015-05-24,BROOKLYN,1400,0,110
2015-05-24,MANHATTAN,2769,0,84
2015-05-24,QUEENS,1020,0,106
2015-05-24,STATEN ISLAND,32,0,13
2015-05-25,BRONX,326,0,44
2015-05-25,BROOKLYN,1259,2,115
2015-05-25,MANHATTAN,2643,0,51
2015-05-25,QUEENS,1019,1,99
2015-05-25,STATEN ISLAND,28,0,12
2015-05-26,BRONX,291,0,66
2015-05-26,BROOKLYN,1182,1,155
2015-05-26,MANHATTAN,2936,0,140
2015-05-26,QUEENS,946,1,138
2015-05-26,STATEN ISLAND,25,0,22
2015-05-27,BRONX,290,0,61
2015-05-27,BROOKLYN,1136,0,158
2015-05-27,MANHATTAN,3286,1,151
2015-05-27,QUEENS,876,0,121
2015-05-27,STATEN ISLAND,41,0,25
2015-05-28,BRONX,305,0,66
2015-05-28,BROOKLYN,1171,0,162
2015-05-28,MANHATTAN,3470,0,152
2015-05-28,QUEENS,919,0,115
2015-05-28,STATEN ISLAND,34,0,27
2015-05-29,BRONX,347,0,80
2015-05-29,BROOKLYN,1327,0,193
2015-05-29,MANHATTAN,3455,0,148
2015-05-29,QUEENS,989,0,154
2015-05-29,STATEN ISLAND,41,0,35
2015-05-30,BRONX,388,1,45
2015-05-30,BROOKLYN,1648,0,145
2015-05-30,MANHATTAN,3504,0,132
2015-05-30,QUEENS,1147,0,121
2015-05-30,STATEN ISLAND,48,0,16
2015-05-31,BRONX,339,0,56
2015-05-31,BROOKLYN,1636,0,128
2015-05-31,MANHATTAN,3384,0,128
2015-05-31,QUEENS,1113,0,91
2015-05-31,STATEN ISLAND,46,0,14
2015-06-01,BRONX,291,0,84
2015-06-01,BROOKLYN,1235,0,160
2015-06-01,MANHATTAN,3521,0,127
2015-06-01,QUEENS,941,0,156
2015-06-01,STATEN ISLAND,38,0,18
2015-06-02,BRONX,291,0,57
2015-06-02,BROOKLYN,1212,1,159
2015-06-02,MANHATTAN,3479,0,126
2015-06-02,QUEENS,894,0,136
2015-06-02,STATEN ISLAND,31,0,17
2015-06-03,BRONX,309,1,59
2015-06-03,BROOKLYN,1212,1,158
2015-06-03,MANHATTAN,3269,0,149
2015-06-03,QUEENS,882,0,123
2015-06-03,STATEN ISLAND,31,0,12
2015-06-04,BRONX,312,1,53
2015-06-04,BROOKLYN,1239,0,129
2015-06-04,MANHATTAN,3355,0,125
2015-06-04,QUEENS,902,1,101
2015-06-04,STATEN ISLAND,30,0,10
2015-06-05,BRONX,355,0,74
2015-06-05,BROOKLYN,1367,0,159
2015-06-05,MANHATTAN,3579,0,143
2015-06-05,QUEENS,1037,0,119
2015-06-05,STATEN ISLAND,41,0,18
2015-06-06,BRONX,395,0,65
2015-06-06,BROOKLYN,1563,0,135
2015-06-06,MANHATTAN,3314,0,108
2015-06-06,QUEENS,1148,0,129
2015-06-06,STATEN ISLAND,37,0,21
2015-06-07,BRONX,356,0,59
2015-06-07,BROOKLYN,1494,0,127
2015-06-07,MANHATTAN,3170,0,94
2015-06-07,QUEENS,1110,0,109
2015-06-07,STATEN ISLAND,36,0,16
2015-06-08,BRONX,292,0,53
2015-06-08,BROOKLYN,1146,0,144
2015-06-08,MANHATTAN,3026,0,129
2015-06-08,QUEENS,877,0,131
2015-06-08,STATEN ISLAND,30,0,11
2015-06-09,BRONX,303,0,52
2015-06-09,BROOKLYN,1135,0,163
2015-06-09,MANHATTAN,3222,0,120
2015-06-09,QUEENS,878,0,136
2015-06-09,STATEN ISLAND,29,0,15
2015-06-10,BRONX,278,0,61
2015-06-10,BROOKLYN,1170,0,147
2015-06-10,MANHATTAN,3300,0,136
2015-06-10,QUEENS,899,0,136
2015-06-10,STATEN ISLAND,26,0,28
2015-06-11,BRONX,304,0,57
2015-06-11,BROOKLYN,1194,0,137
2015-06-11,MANHATTAN,3474,0,125
2015-06-11,QUEENS,902,0,148
2015-06-11,STATEN ISLAND,29,0,17
2015-06-12,BRONX,343,0,37
2015-06-12,BROOKLYN,1408,0,94
2015-06-12,MANHATTAN,3450,0,111
2015-06-12,QUEENS,972,0,89
2015-06-12,STATEN ISLAND,55,0,15
2015-06-13,BRONX,385,0,45
2015-06-13,BROOKLYN,1628,0,88
2015-06-13,MANHATTAN,3298,0,69
2015-06-13,QUEENS,1079,0,72
2015-06-13,STATEN ISLAND,42,0,17
2015-06-14,BRONX,320,1,52
2015-06-14,BROOKLYN,1594,0,127
2015-06-14,MANHATTAN,3072,0,104
2015-06-14,QUEENS,1054,1,126
2015-06-14,STATEN ISLAND,53,0,16
2015-06-15,BRONX,300,0,45
2015-06-15,BROOKLYN,1228,0,100
2015-06-15,MANHATTAN,3164,1,113
2015-06-15,QUEENS,952,0,85
2015-06-15,STATEN ISLAND,26,0,18
2015-06-16,BRONX,293,0,56
2015-06-16,BROOKLYN,1169,0,142
2015-06-16,MANHATTAN,3276,0,122
2015-06-16,QUEENS,910,0,121
2015-06-16,STATEN ISLAND,35,0,14
2015-06-17,BRONX,289,0,62
2015-06-17,BROOKLYN,1280,0,172
2015-06-17,MANHATTAN,3380,0,139
2015-06-17,QUEENS,901,0,135
2015-06-17,STATEN ISLAND,34,0,13
2015-06-18,BRONX,330,0,53
2015-06-18,BROOKLYN,1272,1,147
2015-06-18,MANHATTAN,3358,0,124
2015-06-18,QUEENS,893,0,125
2015-06-18,STATEN ISLAND,43,0,10
2015-06-19,BRONX,349,0,86
2015-06-19,BROOKLYN,1352,0,170
2015-06-19,MANHATTAN,3492,0,146
2015-06-19,QUEENS,1033,0,134
2015-06-19,STATEN ISLAND,44,0,25
2015-06-20,BRONX,381,0,58
2015-06-20,BROOKLYN,1595,0,104
2015-06-20,MANHATTAN,3314,0,82
2015-06-20,QUEENS,1099,0,98
2015-06-20,STATEN ISLAND,47,0,13
2015-06-21,BRONX,363,0,56
2015-06-21,BROOKLYN,1586,0,180
2015-06-21,MANHATTAN,3049,0,109
2015-06-21,QUEENS,1054,0,96
2015-06-21,STATEN ISLAND,46,0,24
2015-06-22,BRONX,312,0,86
2015-06-22,BROOKLYN,1205,1,183
2015-06-22,MANHATTAN,3021,0,140
2015-06-22,QUEENS,926,0,148
2015-06-22,STATEN ISLAND,39,0,24
2015-06-23,BRONX,330,0,68
2015-06-23,BROOKLYN,1220,1,178
2015-06-23,MANHATTAN,3245,0,115
2015-06-23,QUEENS,900,0,133
2015-06-23,STATEN ISLAND,37,0,14
2015-06-24,BRONX,348,0,80
2015-06-24,BROOKLYN,1212,0,172
2015-06-24,MANHATTAN,3260,0,154
2015-06-24,QUEENS,851,0,149
2015-06-24,STATEN ISLAND,41,0,25
2015-06-25,BRONX,326,0,75
2015-06-25,BROOKLYN,1224,0,147
2015-06-25,MANHATTAN,3276,0,145
2015-06-25,QUEENS,943,0,117
2015-06-25,STATEN ISLAND,38,0,18
2015-06-26,BRONX,361,0,79
2015-06-26,BROOKLYN,1357,0,162
2015-06-26,MANHATTAN,3420,0,175
2015-06-26,QUEENS,1042,0,155
2015-06-26,STATEN ISLAND,43,0,17
2015-06-27,BRONX,384,0,51
2015-06-27,BROOKLYN,1790,0,129
2015-06-27,MANHATTAN,3827,0,124
2015-06-27,QUEENS,1135,1,121
2015-06-27,STATEN ISLAND,55,0,12
2015-06-28,BRONX,379,1,50
2015-06-28,BROOKLYN,1470,0,121
2015-06-28,MANHATTAN,3153,0,106
2015-06-28,QUEENS,1107,1,109
2015-06-28,STATEN ISLAND,29,0,18
2015-06-29,BRONX,304,0,59
2015-06-29,BROOKLYN,1199,1,148
2015-06-29,MANHATTAN,3069,1,131
2015-06-29,QUEENS,913,0,138
2015-06-29,STATEN ISLAND,22,0,18
2015-06-30,BRONX,302,0,59
2015-06-30,BROOKLYN,1227,0,140
2015-06-30,MANHATTAN,3170,0,137
2015-06-30,QUEENS,940,0,105
2015-06-30,STATEN ISLAND,23,0,18
