DATE,Borough,No. of uber trips,PERSONS KILLED,trafficcol
2015-01-31,QUEENS,889,1,117
2015-01-31,STATEN ISLAND,31,0,12
2015-02-01,BRONX,269,0,34
2015-02-01,BROOKLYN,1380,0,91
2015-02-01,MANHATTAN,3033,0,65
2015-02-01,QUEENS,909,0,87
2015-02-01,STATEN ISLAND,29,0,10
2015-02-02,BRONX,222,0,60
2015-02-02,BROOKLYN,1003,0,176
2015-02-02,MANHATTAN,2974,0,79
2015-02-02,QUEENS,861,0,174
2015-02-02,STATEN ISLAND,23,0,31
2015-02-03,BRONX,233,0,66
2015-02-03,BROOKLYN,1027,0,247
2015-02-03,MANHATTAN,2909,0,120
2015-02-03,QUEENS,818,1,127
2015-02-03,STATEN ISLAND,17,0,25
2015-02-04,BRONX,242,0,57
2015-02-04,BROOKLYN,975,0,166
2015-02-04,MANHATTAN,2864,0,107
2015-02-04,QUEENS,697,1,107
2015-02-04,STATEN ISLAND,18,0,14
2015-02-05,BRONX,261,0,75
2015-02-05,BROOKLYN,1012,0,112
2015-02-05,MANHATTAN,3051,0,115
2015-02-05,QUEENS,721,0,119
2015-02-05,STATEN ISLAND,17,0,15
2015-02-06,BRONX,260,0,64
2015-02-06,BROOKLYN,1153,0,151
2015-02-06,MANHATTAN,3247,0,142
2015-02-06,QUEENS,818,0,124
2015-02-06,STATEN ISLAND,29,0,21
2015-02-07,BRONX,295,0,50
2015-02-07,BROOKLYN,1340,0,111
2015-02-07,MANHATTAN,3227,0,81
2015-02-07,QUEENS,903,0,90
2015-02-07,STATEN ISLAND,33,0,10
2015-02-08,BRONX,275,0,22
2015-02-08,BROOKLYN,1300,0,124
2015-02-08,MANHATTAN,2749,0,68
2015-02-08,QUEENS,830,0,81
2015-02-08,STATEN ISLAND,25,0,11
2015-02-09,BRONX,222,0,52
2015-02-09,BROOKLYN,1011,2,151
2015-02-09,MANHATTAN,2861,0,90
2015-02-09,QUEENS,757,0,127
2015-02-09,STATEN ISLAND,19,0,14
2015-02-10,BRONX,230,0,54
2015-02-10,BROOKLYN,972,0,134
2015-02-10,MANHATTAN,2846,0,111
2015-02-10,QUEENS,701,0,114
2015-02-10,STATEN ISLAND,18,0,17
2015-02-11,BRONX,248,0,73
2015-02-11,BROOKLYN,957,0,139
2015-02-11,MANHATTAN,2958,1,102
2015-02-11,QUEENS,729,0,112
2015-02-11,STATEN ISLAND,19,0,14
2015-02-12,BRONX,265,0,50
2015-02-12,BROOKLYN,1029,0,149
2015-02-12,MANHATTAN,3170,0,88
2015-02-12,QUEENS,735,0,116
2015-02-12,STATEN ISLAND,23,0,18
2015-02-13,BRONX,307,0,71
2015-02-13,BROOKLYN,1301,0,172
2015-02-13,MANHATTAN,3638,0,175
2015-02-13,QUEENS,916,0,131
2015-02-13,STATEN ISLAND,26,0,27
2015-02-14,BRONX,327,0,50
2015-02-14,BROOKLYN,1443,0,83
2015-02-14,MANHATTAN,3773,0,100
2015-02-14,QUEENS,1051,0,91
2015-02-14,STATEN ISLAND,30,0,20
2015-02-15,BRONX,284,0,40
2015-02-15,BROOKLYN,1396,0,123
2015-02-15,MANHATTAN,3450,0,95
2015-02-15,QUEENS,978,0,77
2015-02-15,STATEN ISLAND,26,0,21
2015-02-16,BRONX,256,0,30
2015-02-16,BROOKLYN,1230,0,104
2015-02-16,MANHATTAN,3371,0,88
2015-02-16,QUEENS,943,0,78
2015-02-16,STATEN ISLAND,15,0,13
2015-02-17,BRONX,271,0,66
2015-02-17,BROOKLYN,1013,0,140
2015-02-17,MANHATTAN,3089,0,107
2015-02-17,QUEENS,838,0,130
2015-02-17,STATEN ISLAND,33,0,25
2015-02-18,BRONX,245,0,57
2015-02-18,BROOKLYN,990,0,141
2015-02-18,MANHATTAN,3114,1,119
2015-02-18,QUEENS,793,0,127
2015-02-18,STATEN ISLAND,23,0,20
2015-02-19,BRONX,295,0,54
2015-02-19,BROOKLYN,1053,1,111
2015-02-19,MANHATTAN,3447,0,112
2015-02-19,QUEENS,791,0,100
