DATE,Borough,counts
2015-05-29,Staten Island,41
2015-05-29,Unknown,11
2015-05-30,Bronx,388
2015-05-30,Brooklyn,1648
2015-05-30,EWR,2
2015-05-30,Manhattan,3504
2015-05-30,Queens,1147
2015-05-30,Staten Island,48
2015-05-30,Unknown,9
2015-05-31,Bronx,339
2015-05-31,Brooklyn,1636
2015-05-31,Manhattan,3384
2015-05-31,Queens,1113
2015-05-31,Staten Island,46
2015-05-31,Unknown,10
2015-06-01,Bronx,291
2015-06-01,Brooklyn,1235
2015-06-01,Manhattan,3521
2015-06-01,Queens,941
2015-06-01,Staten Island,38
2015-06-01,Unknown,8
2015-06-02,Bronx,291
2015-06-02,Brooklyn,1212
2015-06-02,EWR,1
2015-06-02,Manhattan,3479
2015-06-02,Queens,894
2015-06-02,Staten Island,31
2015-06-02,Unknown,8
2015-06-03,Bronx,309
2015-06-03,Brooklyn,1212
2015-06-03,Manhattan,3269
2015-06-03,Queens,882
2015-06-03,Staten Island,31
2015-06-03,Unknown,14
2015-06-04,Bronx,312
2015-06-04,Brooklyn,1239
2015-06-04,Manhattan,3355
2015-06-04,Queens,902
2015-06-04,Staten Island,30
2015-06-04,Unknown,9
2015-06-05,Bronx,355
2015-06-05,Brooklyn,1367
2015-06-05,EWR,2
2015-06-05,Manhattan,3579
2015-06-05,Queens,1037
2015-06-05,Staten Island,41
2015-06-05,Unknown,10
2015-06-06,Bronx,395
2015-06-06,Brooklyn,1563
2015-06-06,EWR,1
2015-06-06,Manhattan,3314
2015-06-06,Queens,1148
2015-06-06,Staten Island,37
2015-06-06,Unknown,14
2015-06-07,Bronx,356
2015-06-07,Brooklyn,1494
2015-06-07,Manhattan,3170
2015-06-07,Queens,1110
2015-06-07,Staten Island,36
2015-06-07,Unknown,13
2015-06-08,Bronx,292
2015-06-08,Brooklyn,1146
2015-06-08,EWR,1
2015-06-08,Manhattan,3026
2015-06-08,Queens,877
2015-06-08,Staten Island,30
2015-06-08,Unknown,11
2015-06-09,Bronx,303
2015-06-09,Brooklyn,1135
2015-06-09,EWR,2
2015-06-09,Manhattan,3222
2015-06-09,Queens,878
2015-06-09,Staten Island,29
2015-06-09,Unknown,9
2015-06-10,Bronx,278
2015-06-10,Brooklyn,1170
2015-06-10,EWR,1
2015-06-10,Manhattan,3300
2015-06-10,Queens,899
2015-06-10,Staten Island,26
2015-06-10,Unknown,6
2015-06-11,Bronx,304
2015-06-11,Brooklyn,1194
2015-06-11,EWR,2
2015-06-11,Manhattan,3474
2015-06-11,Queens,902
2015-06-11,Staten Island,29
2015-06-11,Unknown,13
2015-06-12,Bronx,343
2015-06-12,Brooklyn,1408
2015-06-12,EWR,1
2015-06-12,Manhattan,3450
2015-06-12,Queens,972
2015-06-12,Staten Island,55
2015-06-12,Unknown,10
2015-06-13,Bronx,385
2015-06-13,Brooklyn,1628
2015-06-13,EWR,1
2015-06-13,Manhattan,3298
2015-06-13,Queens,1079
2015-06-13,Staten Island,42
2015-06-13,Unknown,12
2015-06-14,Bronx,320
2015-06-14,Brooklyn,1594
2015-06-14,EWR,2
2015-06-14,Manhattan,3072
2015-06-14,Queens,1054
2015-06-14,Staten Island,53
2015-06-14,Unknown,14
2015-06-15,Bronx,300
2015-06-15,Brooklyn,1228
2015-06-15,EWR,3
2015-06-15,Manhattan,3164
2015-06-15,Queens,952
2015-06-15,Staten Island,26
2015-06-15,Unknown,9
2015-06-16,Bronx,293
2015-06-16,Brooklyn,1169
2015-06-16,EWR,2
2015-06-16,Manhattan,3276
2015-06-16,Queens,910
2015-06-16,Staten Island,35
2015-06-16,Unknown,19
2015-06-17,Bronx,289
2015-06-17,Brooklyn,1280
2015-06-17,EWR,1
2015-06-17,Manhattan,3380
2015-06-17,Queens,901
2015-06-17,Staten Island,34
2015-06-17,Unknown,11
2015-06-18,Bronx,330
2015-06-18,Brooklyn,1272
2015-06-18,EWR,2
2015-06-18,Manhattan,3358
2015-06-18,Queens,893
2015-06-18,Staten Island,43
2015-06-18,Unknown,10
2015-06-19,Bronx,349
2015-06-19,Brooklyn,1352
2015-06-19,EWR,1
2015-06-19,Manhattan,3492
2015-06-19,Queens,1033
2015-06-19,Staten Island,44
2015-06-19,Unknown,17
2015-06-20,Bronx,381
2015-06-20,Brooklyn,1595
2015-06-20,Manhattan,3314
2015-06-20,Queens,1099
2015-06-20,Staten Island,47
2015-06-20,Unknown,9
2015-06-21,Bronx,363
2015-06-21,Brooklyn,1586
2015-06-21,Manhattan,3049
2015-06-21,Queens,1054
2015-06-21,Staten Island,46
2015-06-21,Unknown,10
2015-06-22,Bronx,312
2015-06-22,Brooklyn,1205
2015-06-22,EWR,1
2015-06-22,Manhattan,3021
2015-06-22,Queens,926
2015-06-22,Staten Island,39
2015-06-22,Unknown,10
2015-06-23,Bronx,330
2015-06-23,Brooklyn,1220
2015-06-23,Manhattan,3245
2015-06-23,Queens,900
2015-06-23,Staten Island,37
2015-06-23,Unknown,10
2015-06-24,Bronx,348
2015-06-24,Brooklyn,1212
2015-06-24,Manhattan,3260
2015-06-24,Queens,851
2015-06-24,Staten Island,41
2015-06-24,Unknown,14
2015-06-25,Bronx,326
2015-06-25,Brooklyn,1224
2015-06-25,EWR,1
2015-06-25,Manhattan,3276
2015-06-25,Queens,943
2015-06-25,Staten Island,38
2015-06-25,Unknown,15
2015-06-26,Bronx,361
2015-06-26,Brooklyn,1357
2015-06-26,Manhattan,3420
2015-06-26,Queens,1042
2015-06-26,Staten Island,43
2015-06-26,Unknown,9
2015-06-27,Bronx,384
2015-06-27,Brooklyn,1790
2015-06-27,Manhattan,3827
2015-06-27,Queens,1135
2015-06-27,Staten Island,55
2015-06-27,Unknown,16
2015-06-28,Bronx,379
2015-06-28,Brooklyn,1470
2015-06-28,EWR,2
2015-06-28,Manhattan,3153
2015-06-28,Queens,1107
2015-06-28,Staten Island,29
2015-06-28,Unknown,10
2015-06-29,Bronx,304
2015-06-29,Brooklyn,1199
2015-06-29,Manhattan,3069
2015-06-29,Queens,913
2015-06-29,Staten Island,22
2015-06-29,Unknown,9
2015-06-30,Bronx,302
2015-06-30,Brooklyn,1227
2015-06-30,Manhattan,3170
2015-06-30,Queens,940
2015-06-30,Staten Island,23
2015-06-30,Unknown,6
