STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/4/14,,,0.34,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/5/14,,,0.28,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/6/14,,,0.46,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/7/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/8/14,,,0,",,N",0,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/9/14,,,0.48,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/10/14,,,0.48,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/11/14,,,0.01,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/12/14,,,0.06,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/13/14,,,0.07,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US1NYWC0003,"WHITE PLAINS 3.1 NNW, NY US",41.0639,-73.7722,71,6/14/14,,,1.28,",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
